position_id,x,y,z,hour,utci,mrt,air_temp,wind_speed,relative_humidity,comfort_category,datetime
position_0,-2470.81,-619.8652,1.5,0,23.2,18.608941508154167,23.0,0.5,77,comfortable,2017-08-15 00:00:00
position_0,-2470.81,-619.8652,1.5,1,22.9,18.21280040410158,22.6,0.5,78,comfortable,2017-08-15 01:00:00
position_0,-2470.81,-619.8652,1.5,2,22.4,17.717775590980068,22.2,0.5,78,comfortable,2017-08-15 02:00:00
position_0,-2470.81,-619.8652,1.5,3,18.4,16.77117730736497,21.3,2.6,74,comfortable,2017-08-15 03:00:00
position_0,-2470.81,-619.8652,1.5,4,14.6,15.718992992418666,20.4,4.1,71,comfortable,2017-08-15 04:00:00
position_0,-2470.81,-619.8652,1.5,5,19.9,15.718992992418666,20.4,0.5,71,comfortable,2017-08-15 05:00:00
position_0,-2470.81,-619.8652,1.5,6,20.6,18.547945469836275,20.6,1.0,73,comfortable,2017-08-15 06:00:00
position_0,-2470.81,-619.8652,1.5,7,25.1,27.723742894374983,23.0,1.0,69,comfortable,2017-08-15 07:00:00
position_0,-2470.81,-619.8652,1.5,8,30.1,36.37373736775559,25.8,0.5,69,warm,2017-08-15 08:00:00
position_0,-2470.81,-619.8652,1.5,9,32.1,43.43150810727229,28.0,1.5,55,hot,2017-08-15 09:00:00
position_0,-2470.81,-619.8652,1.5,10,34.7,49.21118627811192,30.0,1.5,47,hot,2017-08-15 10:00:00
position_0,-2470.81,-619.8652,1.5,11,35.8,53.72049963464195,31.6,2.6,41,hot,2017-08-15 11:00:00
position_0,-2470.81,-619.8652,1.5,12,36.1,56.79509909098297,33.4,5.1,37,hot,2017-08-15 12:00:00
position_0,-2470.81,-619.8652,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
position_0,-2470.81,-619.8652,1.5,14,36.0,53.92463089481415,34.0,5.7,38,hot,2017-08-15 14:00:00
position_0,-2470.81,-619.8652,1.5,15,34.5,49.65068416124275,33.6,7.7,37,hot,2017-08-15 15:00:00
position_0,-2470.81,-619.8652,1.5,16,32.2,44.01209768709977,32.6,7.2,40,hot,2017-08-15 16:00:00
position_0,-2470.81,-619.8652,1.5,17,28.6,36.60554152091203,30.0,7.7,58,warm,2017-08-15 17:00:00
position_0,-2470.81,-619.8652,1.5,18,25.9,28.981363290199436,28.8,6.7,64,comfortable,2017-08-15 18:00:00
position_0,-2470.81,-619.8652,1.5,19,23.9,22.799281568184607,26.8,5.1,80,comfortable,2017-08-15 19:00:00
position_0,-2470.81,-619.8652,1.5,20,26.1,21.83023086443052,25.8,2.1,85,warm,2017-08-15 20:00:00
position_0,-2470.81,-619.8652,1.5,21,25.9,21.34731832213122,25.4,2.1,89,comfortable,2017-08-15 21:00:00
position_0,-2470.81,-619.8652,1.5,22,24.8,20.957327806021507,25.0,2.6,90,comfortable,2017-08-15 22:00:00
position_0,-2470.81,-619.8652,1.5,23,24.8,20.957327806021507,25.0,2.6,90,comfortable,2017-08-15 23:00:00
position_1,-2470.81,-569.8652,1.5,0,23.4,19.13541501813026,23.0,0.5,77,comfortable,2017-08-15 00:00:00
position_1,-2470.81,-569.8652,1.5,1,23.0,18.738811245111215,22.6,0.5,78,comfortable,2017-08-15 01:00:00
position_1,-2470.81,-569.8652,1.5,2,22.5,18.255179595390242,22.2,0.5,78,comfortable,2017-08-15 02:00:00
position_1,-2470.81,-569.8652,1.5,3,18.6,17.314168293132656,21.3,2.6,74,comfortable,2017-08-15 03:00:00
position_1,-2470.81,-569.8652,1.5,4,14.8,16.28023037836569,20.4,4.1,71,comfortable,2017-08-15 04:00:00
position_1,-2470.81,-569.8652,1.5,5,20.0,16.28023037836569,20.4,0.5,71,comfortable,2017-08-15 05:00:00
position_1,-2470.81,-569.8652,1.5,6,20.7,18.793980077018993,20.6,1.0,73,comfortable,2017-08-15 06:00:00
position_1,-2470.81,-569.8652,1.5,7,24.9,27.15738161578021,23.0,1.0,69,comfortable,2017-08-15 07:00:00
position_1,-2470.81,-569.8652,1.5,8,29.7,35.10598094048295,25.8,0.5,69,warm,2017-08-15 08:00:00
position_1,-2470.81,-569.8652,1.5,9,31.6,41.58132090239973,28.0,1.5,55,warm,2017-08-15 09:00:00
position_1,-2470.81,-569.8652,1.5,10,34.1,46.90782805835145,30.0,1.5,47,hot,2017-08-15 10:00:00
position_1,-2470.81,-569.8652,1.5,11,35.2,51.06832428632875,31.6,2.6,41,hot,2017-08-15 11:00:00
position_1,-2470.81,-569.8652,1.5,12,35.5,53.99010344869292,33.4,5.1,37,hot,2017-08-15 12:00:00
position_1,-2470.81,-569.8652,1.5,13,36.9,53.96675784838742,34.4,5.1,41,hot,2017-08-15 13:00:00
position_1,-2470.81,-569.8652,1.5,14,35.5,51.53573300569461,34.0,5.7,38,hot,2017-08-15 14:00:00
position_1,-2470.81,-569.8652,1.5,15,34.1,47.72625977847052,33.6,7.7,37,hot,2017-08-15 15:00:00
position_1,-2470.81,-569.8652,1.5,16,31.9,42.64382460745973,32.6,7.2,40,warm,2017-08-15 16:00:00
position_1,-2470.81,-569.8652,1.5,17,28.4,35.81355875951968,30.0,7.7,58,warm,2017-08-15 17:00:00
position_1,-2470.81,-569.8652,1.5,18,25.9,28.95961842659777,28.8,6.7,64,comfortable,2017-08-15 18:00:00
position_1,-2470.81,-569.8652,1.5,19,24.0,23.27895458532506,26.8,5.1,80,comfortable,2017-08-15 19:00:00
position_1,-2470.81,-569.8652,1.5,20,26.3,22.306193162468475,25.8,2.1,85,warm,2017-08-15 20:00:00
position_1,-2470.81,-569.8652,1.5,21,26.1,21.83322156202782,25.4,2.1,89,warm,2017-08-15 21:00:00
