position_id,x,y,z,hour,utci,mrt,air_temp,wind_speed,relative_humidity,comfort_category,datetime
position_46,-5059.535,-1008.031,1.5,13,37.2,55.71498031734403,34.4,5.1,41,hot,2017-08-15 13:00:00
position_47,-5059.535,-998.031,1.5,13,36.2,50.9119826167766,34.4,5.1,41,hot,2017-08-15 13:00:00
position_48,-5059.535,-988.031,1.5,13,34.6,43.16901078568967,34.4,5.1,41,hot,2017-08-15 13:00:00
position_49,-5059.535,-978.031,1.5,13,36.8,53.5558801356084,34.4,5.1,41,hot,2017-08-15 13:00:00
position_50,-5059.535,-968.031,1.5,13,36.9,54.345549178777524,34.4,5.1,41,hot,2017-08-15 13:00:00
position_51,-5059.535,-958.031,1.5,13,35.5,47.660477684325066,34.4,5.1,41,hot,2017-08-15 13:00:00
position_52,-5059.535,-948.031,1.5,13,35.9,49.53842857827354,34.4,5.1,41,hot,2017-08-15 13:00:00
position_53,-5059.535,-938.031,1.5,13,36.0,49.95507943898609,34.4,5.1,41,hot,2017-08-15 13:00:00
position_54,-5059.535,-928.031,1.5,13,34.5,42.78017204455049,34.4,5.1,41,hot,2017-08-15 13:00:00
position_55,-5059.535,-918.031,1.5,13,34.2,41.50773613576012,34.4,5.1,41,hot,2017-08-15 13:00:00
position_56,-5059.535,-908.031,1.5,13,33.9,39.80411055926145,34.4,5.1,41,hot,2017-08-15 13:00:00
position_57,-5059.535,-898.031,1.5,13,33.1,36.10707734486935,34.4,5.1,41,hot,2017-08-15 13:00:00
position_58,-5059.535,-888.031,1.5,13,34.6,43.22271384302614,34.4,5.1,41,hot,2017-08-15 13:00:00
position_59,-5059.535,-878.031,1.5,13,35.4,47.0531066041536,34.4,5.1,41,hot,2017-08-15 13:00:00
position_60,-5059.535,-868.031,1.5,13,34.8,44.13743308907463,34.4,5.1,41,hot,2017-08-15 13:00:00
position_61,-5059.535,-858.031,1.5,13,34.8,44.07845092633552,34.4,5.1,41,hot,2017-08-15 13:00:00
position_62,-5059.535,-848.031,1.5,13,35.1,45.69091053844519,34.4,5.1,41,hot,2017-08-15 13:00:00
position_63,-5059.535,-838.031,1.5,13,36.4,51.8422359523058,34.4,5.1,41,hot,2017-08-15 13:00:00
position_64,-5059.535,-828.031,1.5,13,36.6,52.81451968286246,34.4,5.1,41,hot,2017-08-15 13:00:00
position_65,-5059.535,-818.031,1.5,13,36.5,52.36261940493001,34.4,5.1,41,hot,2017-08-15 13:00:00
position_66,-5059.535,-808.031,1.5,13,36.6,52.96967376071163,34.4,5.1,41,hot,2017-08-15 13:00:00
position_67,-5059.535,-798.031,1.5,13,36.5,52.162899413116236,34.4,5.1,41,hot,2017-08-15 13:00:00
position_68,-5059.535,-788.031,1.5,13,36.0,50.15823638708737,34.4,5.1,41,hot,2017-08-15 13:00:00
position_69,-5059.535,-778.031,1.5,13,36.0,49.8851623302199,34.4,5.1,41,hot,2017-08-15 13:00:00
position_70,-5059.535,-768.031,1.5,13,35.8,49.21758195658216,34.4,5.1,41,hot,2017-08-15 13:00:00
position_71,-5059.535,-758.031,1.5,13,35.5,47.83698701067699,34.4,5.1,41,hot,2017-08-15 13:00:00
position_72,-5059.535,-748.031,1.5,13,35.6,48.26973534594178,34.4,5.1,41,hot,2017-08-15 13:00:00
position_73,-5059.535,-738.031,1.5,13,36.3,51.406464127418964,34.4,5.1,41,hot,2017-08-15 13:00:00
position_74,-5059.535,-728.031,1.5,13,36.8,53.697808956150645,34.4,5.1,41,hot,2017-08-15 13:00:00
position_75,-5059.535,-718.031,1.5,13,36.8,53.725101216534895,34.4,5.1,41,hot,2017-08-15 13:00:00
position_76,-5059.535,-708.031,1.5,13,35.6,48.1568715927146,34.4,5.1,41,hot,2017-08-15 13:00:00
position_77,-5059.535,-698.031,1.5,13,33.7,39.158370507314075,34.4,5.1,41,hot,2017-08-15 13:00:00
position_78,-5059.535,-688.031,1.5,13,35.1,45.75883037438549,34.4,5.1,41,hot,2017-08-15 13:00:00
position_79,-5059.535,-678.031,1.5,13,35.7,48.42803547234686,34.4,5.1,41,hot,2017-08-15 13:00:00
position_80,-5059.535,-668.031,1.5,13,36.3,51.48407846342626,34.4,5.1,41,hot,2017-08-15 13:00:00
position_81,-5059.535,-658.031,1.5,13,36.6,52.794008400285755,34.4,5.1,41,hot,2017-08-15 13:00:00
position_82,-5059.535,-648.031,1.5,13,35.3,46.775955437569806,34.4,5.1,41,hot,2017-08-15 13:00:00
position_83,-5059.535,-638.031,1.5,13,32.9,35.31058153367243,34.4,5.1,41,hot,2017-08-15 13:00:00
position_84,-5049.535,-1048.031,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
position_85,-5049.535,-1038.031,1.5,13,37.5,56.7874969066732,34.4,5.1,41,hot,2017-08-15 13:00:00
position_86,-5049.535,-1028.031,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
