position_id,x,y,z,hour,utci,mrt,air_temp,wind_speed,relative_humidity,comfort_category,datetime
position_0,-2470.81,-619.8652,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
position_1,-2470.81,-617.8652,1.5,13,37.5,56.7874969066732,34.4,5.1,41,hot,2017-08-15 13:00:00
position_2,-2470.81,-615.8652,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
position_3,-2470.81,-613.8652,1.5,13,37.4,56.47718875097484,34.4,5.1,41,hot,2017-08-15 13:00:00
position_4,-2470.81,-611.8652,1.5,13,37.4,56.322034673125664,34.4,5.1,41,hot,2017-08-15 13:00:00
position_5,-2470.81,-609.8652,1.5,13,37.4,56.322034673125664,34.4,5.1,41,hot,2017-08-15 13:00:00
position_6,-2470.81,-607.8652,1.5,13,37.4,56.47718875097484,34.4,5.1,41,hot,2017-08-15 13:00:00
position_7,-2470.81,-605.8652,1.5,13,37.4,56.47718875097484,34.4,5.1,41,hot,2017-08-15 13:00:00
position_8,-2470.81,-603.8652,1.5,13,37.4,56.47718875097484,34.4,5.1,41,hot,2017-08-15 13:00:00
position_9,-2470.81,-601.8652,1.5,13,37.4,56.47718875097484,34.4,5.1,41,hot,2017-08-15 13:00:00
position_10,-2470.81,-599.8652,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
position_11,-2470.81,-597.8652,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
position_12,-2470.81,-595.8652,1.5,13,37.4,56.47718875097484,34.4,5.1,41,hot,2017-08-15 13:00:00
position_13,-2470.81,-593.8652,1.5,13,37.3,56.011726517427306,34.4,5.1,41,hot,2017-08-15 13:00:00
position_14,-2470.81,-591.8652,1.5,13,37.3,56.166880595276496,34.4,5.1,41,hot,2017-08-15 13:00:00
position_15,-2470.81,-589.8652,1.5,13,37.3,56.011726517427306,34.4,5.1,41,hot,2017-08-15 13:00:00
position_16,-2470.81,-587.8652,1.5,13,37.3,56.166880595276496,34.4,5.1,41,hot,2017-08-15 13:00:00
position_17,-2470.81,-585.8652,1.5,13,37.3,56.166880595276496,34.4,5.1,41,hot,2017-08-15 13:00:00
position_18,-2470.81,-583.8652,1.5,13,37.3,56.011726517427306,34.4,5.1,41,hot,2017-08-15 13:00:00
position_19,-2470.81,-581.8652,1.5,13,37.3,56.166880595276496,34.4,5.1,41,hot,2017-08-15 13:00:00
position_20,-2470.81,-579.8652,1.5,13,37.3,56.01850749523485,34.4,5.1,41,hot,2017-08-15 13:00:00
position_21,-2470.81,-577.8652,1.5,13,37.2,55.71498031734403,34.4,5.1,41,hot,2017-08-15 13:00:00
position_22,-2470.81,-575.8652,1.5,13,37.2,55.42501509506831,34.4,5.1,41,hot,2017-08-15 13:00:00
position_23,-2470.81,-573.8652,1.5,13,37.2,55.42501509506831,34.4,5.1,41,hot,2017-08-15 13:00:00
position_24,-2470.81,-571.8652,1.5,13,37.1,54.938873229789984,34.4,5.1,41,hot,2017-08-15 13:00:00
position_25,-2470.81,-569.8652,1.5,13,36.9,53.96675784838742,34.4,5.1,41,hot,2017-08-15 13:00:00
position_26,-2470.81,-567.8652,1.5,13,36.6,52.76414964247098,34.4,5.1,41,hot,2017-08-15 13:00:00
position_27,-2470.81,-565.8652,1.5,13,35.3,46.7460508895348,34.4,5.1,41,hot,2017-08-15 13:00:00
position_28,-2470.81,-563.8652,1.5,13,35.3,46.442523711644,34.4,5.1,41,hot,2017-08-15 13:00:00
